,id,type,x,y,distances
0,6439,A,803.5,353.81,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
1,6441,A,601.81,381.98,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
2,6443,A,327.49,492.02,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.22742007073930282]"
3,6445,A,466.78,734.39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.0]"
4,6447,A,422.86,1107.95,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.10815416117748544]"
5,6449,A,327.49,1267.58,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.22742007073930282]"
6,6451,A,359.02,466.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
7,6453,A,729.58,353.81,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.12780661909018587]"
8,6455,A,688.66,353.81,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
9,6457,A,438.22,734.39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.011150560117535235]"
10,6459,A,409.66,734.39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.011150560117535235]"
11,6461,A,491.14,637.97,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
12,6463,A,406.81,590.42,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.10815416117748544]"
13,6465,A,406.81,1194.02,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.10815416117748544]"
14,6467,A,418.66,637.97,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
15,6469,A,573.31,702.74,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,6471,A,443.5,1107.95,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.10815416117748544]"
17,6473,A,464.14,1107.95,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.10815416117748544]"
18,6475,A,484.66,1107.95,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.11960741489920679]"
19,6498,A,406.81,555.74,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.10815416117748544]"
20,6511,A,644.5,1237.61,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.12780661909018587]"
21,6513,A,663.7,464.09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.23919282687674936]"
22,6515,A,573.31,1045.82,"[0.0, 0.0009999999999998899, 0.0, 0.0, 0.0008406616918543719, 0.0, 0.0, 2.518413597419382, 5.333851233619525]"
