,id,type,x,y,distances
0,4195,A,955.138,828.139,"[0.0, 0.03934254515061131, 0.0, 0.025601263081949988, 0.06257647766217689, 0.08031580104216518, 0.07110830891202813, 0.05589216010435738, 0.14092547664200694, 0.10728503302357151, 0.07465603456440562, 0.09002388998186639, 0.048396752478746974, 0.0]"
1,4198,A,955.138,806.7785,"[0.0, 0.03934254515061131, 0.0, 0.024617512589802937, 0.06352517977658856, 0.02586554996201107, 0.07110830891202813, 0.05589216010435738, 0.14163246065686597, 0.10728503302357151, 0.07465603456440562, 0.08907522551362224, 0.04938047892995079, 0.0]"
2,4202,A,889.258,1753.274,"[0.0, 0.10705174822851626, 0.0, 0.08834467565797177, 0.15570074250709265, 0.05093832639475693, 0.05057090291343158, 0.12169779387746438, 0.0343303999208775, 0.04146819431329085, 0.052508083202561284, 0.06898236818657244, 0.0834972180908422, 0.0]"
3,4234,A,1338.6575,1713.012,"[0.0, 0.037342545150611084, 0.0, 0.01414933488260739, 0.1726937384112972, 0.07861481998569086, 0.023065360351928632, 0.05102907593658479, 0.13173985079137118, 0.10609980734456315, 0.07284873940734693, 0.08875905424599395, 0.046070812329013444, 0.0]"
4,4236,A,1338.6575,1514.358,"[0.0, 0.037342545150611084, 0.0, 0.026943022867810695, 0.06384123811470888, 0.023170268854093568, 0.06831215817773995, 0.05800326917638898, 0.05736714566174239, 0.10771110935883765, 0.07551362396223826, 0.0906566466114942, 0.049022708149751404, 0.0]"
5,4238,A,1338.6575,1315.578,"[0.0, 0.037342545150611084, 0.0, 0.024975021193986757, 0.17741417749207988, 0.08214164386520428, 0.02705173782864101, 0.057306233449373245, 0.14092531295988397, 0.10609980734456315, 0.07462527526701068, 0.08875905424599395, 0.049022708149751404, 0.0]"
6,4240,A,1338.6575,1116.8575,"[0.0, 0.037342545150611084, 0.0, 0.026943022867810695, 0.17741417749207988, 0.08214164386520428, 0.02705173782864101, 0.05660911239967703, 0.14092531295988397, 0.10609980734456315, 0.07462527526701068, 0.08875905424599395, 0.049022708149751404, 0.0]"
7,4246,A,1321.9775,1649.893,"[0.0, 0.035342545150611304, 0.0, 0.02505919852387728, 0.06288790668714528, 0.08066002245011195, 0.024222765513749245, 0.05515488590480899, 0.14375390369101027, 0.11046207181825185, 0.077811727187171, 0.09160926148242643, 0.05090589701884052, 0.0]"
8,4250,A,1290.6575,1649.893,"[0.0, 0.035342545150611304, 0.0, 0.02505919852387728, 0.0609916718373702, 0.027245015638095893, 0.07347954295352821, 0.02907074339896276, 0.05812458525408459, 0.10965702094239216, 0.0760361254766373, 0.09160926148242643, 0.04893921457056316, 0.0]"
9,4254,A,1258.018,1649.893,"[0.0, 0.035342545150611304, 0.0, 0.024075844993060258, 0.0609916718373702, 0.027245015638095893, 0.07347954295352821, 0.054458013652515014, 0.14234018109920132, 0.10965702094239216, 0.0760361254766373, 0.09160926148242643, 0.04893921457056316, 0.0]"
10,4258,A,1321.9775,1577.417,"[0.0, 0.0806574548493888, 0.0, 0.025601263081949988, 0.06447384424483271, 0.13729353800043365, 0.0993890261129895, 0.14204942372044105, 0.05808409795706204, 0.036754431866269144, 0.022759399248797774, 0.09002388998186639, 0.05036422942209784, 0.0]"
11,4262,A,1290.6575,1577.417,"[0.0, 0.0806574548493888, 0.0, 0.025601263081949988, 0.06257647766217689, 0.02780731230027733, 0.0002162161469394519, 0.05660911239967703, 0.028780146166131892, 0.03593749730424811, 0.020958498644926937, 0.09002388998186639, 0.048396752478746974, 0.0]"
12,4266,A,1258.018,1577.417,"[0.0, 0.0806574548493888, 0.0, 0.024617512589802937, 0.06257647766217689, 0.02780731230027733, 0.0002162161469394519, 0.1413423590239331, 0.0566502740251984, 0.03593749730424811, 0.020958498644926937, 0.09002388998186639, 0.048396752478746974, 0.0]"
13,4270,A,1321.9775,1450.8175,"[0.0, 0.08165745484938869, 0.0, 0.04197797366171052, 0.09996036372101536, 0.13729353800043365, 0.0993890261129895, 0.14204942372044105, 0.05808409795706204, 0.036754431866269144, 0.022759399248797774, 0.054550215581414374, 0.03399966464640425, 0.0]"
14,4274,A,1290.6575,1450.8175,"[0.0, 0.08165745484938869, 0.0, 0.04197797366171052, 0.09803731583629816, 0.02780731230027733, 0.0002162161469394519, 0.05660911239967703, 0.028780146166131892, 0.03593749730424811, 0.020958498644926937, 0.054550215581414374, 0.03200787823811546, 0.0]"
15,4278,A,1258.018,1450.8175,"[0.0, 0.08165745484938869, 0.0, 0.04098207736549653, 0.09803731583629816, 0.02780731230027733, 0.0002162161469394519, 0.1413423590239331, 0.0566502740251984, 0.03593749730424811, 0.020958498644926937, 0.054550215581414374, 0.03200787823811546, 0.0]"
16,4282,A,1321.9775,1379.0575,"[0.0, 0.08165745484938869, 0.0, 0.025780509224307968, 0.06447384424483271, 0.08255097510002729, 0.02784879327204859, 0.14204942372044105, 0.05808409795706204, 0.10690542370412004, 0.07597284206594512, 0.09002388998186639, 0.05018511461464947, 0.0]"
17,4286,A,1290.6575,1379.0575,"[0.0, 0.08165745484938869, 0.0, 0.025780509224307968, 0.06257647766217689, 0.025406130516870018, 0.06992346019201445, 0.05660911239967703, 0.028780146166131892, 0.10609980734456315, 0.07419640679184658, 0.09002388998186639, 0.04821737481194055, 0.0]"
18,4290,A,1258.018,1379.0575,"[0.0, 0.08165745484938869, 0.0, 0.024796627397251303, 0.06257647766217689, 0.025406130516870018, 0.06992346019201445, 0.1413423590239331, 0.0566502740251984, 0.10609980734456315, 0.07419640679184658, 0.09002388998186639, 0.04821737481194055, 0.0]"
19,4294,A,1321.9775,1252.0975,"[0.0, 0.08165745484938869, 0.0, 0.04197797366171052, 0.0994100142276908, 0.13774096457696583, 0.09880069047918827, 0.14204942372044105, 0.05808409795706204, 0.03733118187896611, 0.0223246465685496, 0.055100363209953596, 0.03399966464640425, 0.0]"
20,4298,A,1290.6575,1252.0975,"[0.0, 0.08165745484938869, 0.0, 0.04197797366171052, 0.09748736993056761, 0.028242064980525505, 0.0003604395392162729, 0.05660911239967703, 0.028780146166131892, 0.036514341666656236, 0.020523543307218617, 0.055100363209953596, 0.03200787823811546, 0.0]"
21,4302,A,1258.018,1252.0975,"[0.0, 0.08165745484938869, 0.0, 0.04098207736549653, 0.09748736993056761, 0.028242064980525505, 0.0003604395392162729, 0.1413423590239331, 0.0566502740251984, 0.036514341666656236, 0.020523543307218617, 0.055100363209953596, 0.03200787823811546, 0.0]"
22,4306,A,1321.9775,1180.3375,"[0.0, 0.08165745484938869, 0.0, 0.025780509224307968, 0.06447384424483271, 0.08255097510002729, 0.09880069047918827, 0.14204942372044105, 0.05808409795706204, 0.03733118187896611, 0.07597284206594512, 0.09002388998186639, 0.05018511461464947, 0.0]"
23,4310,A,1290.6575,1180.3375,"[0.0, 0.08165745484938869, 0.0, 0.025780509224307968, 0.06257647766217689, 0.025406130516870018, 0.0003604395392162729, 0.05660911239967703, 0.028780146166131892, 0.036514341666656236, 0.07419640679184658, 0.09002388998186639, 0.04821737481194055, 0.0]"
24,4314,A,1258.018,1180.3375,"[0.0, 0.08165745484938869, 0.0, 0.024796627397251303, 0.06257647766217689, 0.025406130516870018, 0.0003604395392162729, 0.1413423590239331, 0.0566502740251984, 0.036514341666656236, 0.07419640679184658, 0.09002388998186639, 0.04821737481194055, 0.0]"
25,4320,A,884.5785,1721.9015,"[0.0, 0.0806574548493888, 0.0, 0.029536024110804693, 0.06415733406761426, 0.02231331186817176, 0.001850151862575089, 0.06733624558877516, 0.022412947879219658, 0.05593898922410023, 0.027104538562475522, 0.08939173569084069, 0.062171091454809035, 0.0]"
26,4324,A,883.8585,1690.399,"[0.0, 0.08165745484938869, 0.0, 0.028732011386699785, 0.06447384424483271, 0.030943646471782493, 0.0024268625792842613, 0.14841191016272504, 0.02311925531267356, 0.03536078658753894, 0.03403657108039759, 0.08907522551362224, 0.06100937402751372, 0.0]"
27,4329,A,839.878,1523.897,"[0.0, 0.1320500906577715, 0.0, 0.02488600754736825, 0.06226019345603362, 0.006848428443413823, 0.04589029149509116, 0.006454522045157063, 0.011612245286293899, 0.024168909475414502, 0.08717425302789072, 0.0010285165554084763, 0.016822056184123024, 0.0]"
28,4334,A,894.8385,1744.515,"[0.0, 0.026547541206732195, 0.0, 0.035421295724181734, 0.1751022786843146, 0.12726711116083678, 0.04588663816346461, 0.052268048185577065, 0.05589364502348815, 0.04760401404201975, 0.02142407048237427, 0.10670934604990867, 0.1089633148447946, 0.0]"
29,4336,A,772.1385,978.3775,"[0.0, 0.0806574548493888, 0.0, 0.04197797366171052, 0.09803731583629816, 0.02867660781869974, 0.0002162161469394519, 0.057306233449373245, 0.02948737921137301, 0.0607926761933264, 0.08762146662021975, 0.060615782421040265, 0.08744951225965547, 0.0]"
